Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"April Fools (Mark’s Route)","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/124862733/april-fools-marks-route,2.5,-1,Sport,5.0,1,50,47.0277,-119.96449
"Where the Sidewalk Ends","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106403110/where-the-sidewalk-ends,2.1,-1,Sport,5.1,1,45,47.0277,-119.96449
"Forty Bucks in the Dark","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/108078697/forty-bucks-in-the-dark,2.1,-1,"Trad, Sport",5.2,1,45,47.0277,-119.96449
"Mandatory Suicide","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106403153/mandatory-suicide,2.3,-1,Sport,5.4,1,50,47.0277,-119.96449
"Shake It Don't Break It","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106399185/shake-it-dont-break-it,1.9,-1,Sport,5.5,1,60,47.0277,-119.96449
"Get the Pever Fever","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106403148/get-the-pever-fever,1.8,-1,Sport,5.5,1,40,47.0277,-119.96449
Unnamed,"The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/122727978/unnamed,2.5,-1,Sport,5.5,1,45,47.0277,-119.96449
"The Dirty Bird","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/115402383/the-dirty-bird,1.9,-1,Sport,5.6,1,40,47.0277,-119.96449
"Notch Route","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106279516/notch-route,2.1,-1,Sport,5.6,1,35,47.0277,-119.96449
"Feather in My Cap","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106403086/feather-in-my-cap,1.9,-1,Sport,5.6,1,50,47.0277,-119.96449
"Ruffled Feathers","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106403103/ruffled-feathers,2.0,-1,Sport,5.7,1,50,47.0277,-119.96449
"Beckey Route","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106403137/beckey-route,2.1,-1,Sport,5.7,1,50,47.0277,-119.96449
"Altar of Sacrifice","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106582612/altar-of-sacrifice,2.2,-1,Sport,5.7,1,40,47.0277,-119.96449
"Bird Brain","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/112180165/bird-brain,2.0,-1,Sport,5.7,1,50,47.0277,-119.96449
"Night Owl","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/112180192/night-owl,1.9,-1,Sport,5.7,1,50,47.0277,-119.96449
"Friend of the Devil","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/116976473/friend-of-the-devil,2.1,-1,Sport,5.7+,1,55,47.0277,-119.96449
"Canary Corner","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/112910300/canary-corner,2.1,-1,Sport,5.8,1,50,47.0277,-119.96449
"The Uprising","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/105996964/the-uprising,2.6,-1,Sport,5.8,1,50,47.0277,-119.96449
"Jesus Saves","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106279526/jesus-saves,2.4,-1,Sport,5.8,1,45,47.0277,-119.96449
"Satan's Little Helper","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/105793703/satans-little-helper,2.4,-1,Sport,5.8+,1,60,47.0277,-119.96449
"Shin Smasher","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106515723/shin-smasher,1.6,-1,Sport,5.8+,1,50,47.0277,-119.96449
"Desert Shield","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/105947340/desert-shield,2.7,-1,Sport,5.9,1,50,47.0277,-119.96449
"Basalt 'n' Peppa","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/114439033/basalt-n-peppa,2.3,-1,Sport,5.9+,1,50,47.0277,-119.96449
"Blood Blister","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106260070/blood-blister,2.4,-1,Sport,5.10a,1,60,47.0277,-119.96449
"Criminally Insane","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106402120/criminally-insane,2.3,-1,Sport,5.10a,1,50,47.0277,-119.96449
"Suites of the Carrion Kind","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106578563/suites-of-the-carrion-kind,2.5,-1,Sport,5.10a,1,50,47.0277,-119.96449
"Blood Circle","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/124296625/blood-circle,2.0,-1,Sport,5.10-,1,45,47.0277,-119.96449
"Satan's Wagon","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/105793707/satans-wagon,3.0,-1,Sport,5.10b,1,60,47.0277,-119.96449
Unknown,"The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/118133174/unknown,2.3,-1,TR,5.10b/c,1,25,47.0277,-119.96449
"Updrafts to Heaven","The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106582665/updrafts-to-heaven,2.6,-1,Sport,5.4,1,45,47.0277,-119.96501
"Don Coyote","The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106020957/don-coyote,2.5,-1,Sport,5.8,1,40,47.0277,-119.96501
"Arterial Bypass","The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106712419/arterial-bypass,1.7,-1,Sport,5.8,1,35,47.0277,-119.96501
"Breakfast Crack","The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/117272443/breakfast-crack,1.2,-1,Sport,5.8,1,40,47.0277,-119.96501
"Breakfast Beer","The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/117272457/breakfast-beer,1.7,-1,Sport,5.9,1,40,47.0277,-119.96501
"So Funny I Forgot to Laugh","The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106582636/so-funny-i-forgot-to-laugh,1.9,-1,Sport,5.9,1,30,47.0277,-119.96501
"Me Too","The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106597507/me-too,1.7,-1,Sport,5.9,1,30,47.0277,-119.96501
"Waiting for the Sun","The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/112910284/waiting-for-the-sun,1.7,-1,Sport,5.9+,1,35,47.0277,-119.96501
"Medicine Man","The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/105793695/medicine-man,2.4,-1,Sport,5.10a,1,40,47.0277,-119.96501
Windwalker,"The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106502546/windwalker,1.7,-1,Sport,5.10a,1,,47.0277,-119.96501
"Fraggled Pickle","The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106582645/fraggled-pickle,1.5,-1,Sport,5.10a,1,40,47.0277,-119.96501
Nightbird,"The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/108024079/nightbird,2.1,-1,Sport,5.10a,1,60,47.0277,-119.96501
"Photo Opportunity","The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/112319290/photo-opportunity,1.6,-1,Sport,5.10a/b,1,35,47.0277,-119.96501
"Don't Fear the Whipper","The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/116652562/dont-fear-the-whipper,2.1,-1,Sport,5.10b,1,30,47.0277,-119.96501
"Dance of the Shaman","The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/105793700/dance-of-the-shaman,2.5,-1,Sport,5.10b,1,40,47.0277,-119.96501
"Wish I Were Skiing at 49 Degrees North","The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106582654/wish-i-were-skiing-at-49-degrees-north,2.3,-1,Sport,5.10b,1,40,47.0277,-119.96501
"Hardening of the Arteries","The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106515742/hardening-of-the-arteries,2.8,-1,Sport,5.10c,1,35,47.0277,-119.96501
"Chicken Fingers","The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/118132954/chicken-fingers,2.2,-1,Sport,5.10d,1,30,47.0277,-119.96501
"One More","One More Rock > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/117272524/one-more,1.7,-1,Sport,5.9+,1,,47.0273,-119.964
Kashmir,"Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/121507445/kashmir,2.5,-1,Sport,5.10a,1,80,47.02541,-119.97522
"Savage Heart","Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/105972116/savage-heart,2.5,-1,Sport,5.10b,1,70,47.02541,-119.97522
"Desert Dessert","Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/105947062/desert-dessert,3.7,-1,Sport,5.11a,1,65,47.02541,-119.97522
"Blinded by the Light","Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/110390772/blinded-by-the-light,3.1,-1,Sport,5.11a,1,60,47.02541,-119.97522
"Creeping Death","Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/114389314/creeping-death,1.9,-1,Sport,5.11b,1,70,47.02541,-119.97522
"Focal Point","Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/105972140/focal-point,3.3,-1,Sport,5.11b,1,,47.02541,-119.97522
"After Shock","Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/109609182/after-shock,3.8,-1,Sport,5.11c,1,60,47.02541,-119.97522
"Butcher of Baghdad","Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/110390759/butcher-of-baghdad,3.7,-1,Sport,5.11d,1,60,47.02541,-119.97522
"Peeing with a Boner","Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/113904069/peeing-with-a-boner,3.4,-1,Sport,5.12b,1,60,47.02541,-119.97522
"The Jagged Edge","Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106432488/the-jagged-edge,2.4,-1,Sport,5.7,1,50,47.02333,-119.96875
"Ill-Advised Crossover","Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/117524245/ill-advised-crossover,1.3,-1,Sport,5.7+,1,50,47.02333,-119.96875
"Vehicular Basalt","Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/116976626/vehicular-basalt,2.1,-1,Sport,5.8,1,50,47.02333,-119.96875
"Nice Dreams","Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/119715496/nice-dreams,1.7,-1,Sport,5.8,1,60,47.02333,-119.96875
