Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Delayed Adolescence","The Hood > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/105794262/delayed-adolescence,3.3,-1,Sport,5.8,1,50,47.8356,-117.725
"Heaven Ascent","The Hood > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/117896788/heaven-ascent,1.5,-1,Sport,5.9,1,50,47.8356,-117.725
Princess,"The Hood > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/105794436/princess,2.5,-1,Sport,5.10b,1,40,47.8356,-117.725
"Once Upon a Time","The Hood > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/105794449/once-upon-a-time,2.0,-1,Sport,5.11+,1,40,47.8356,-117.725
"Happy Place","The Hood > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/105794454/happy-place,3.4,-1,Sport,5.11+,1,50,47.8356,-117.725
"Hamm Burglar","The Hood > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/105794634/hamm-burglar,3.8,-1,Sport,5.12a/b,1,60,47.8356,-117.725
Villain,"The Hood > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/123362294/villain,2.0,-1,Sport,5.12a/b,1,40,47.8356,-117.725
"Juicebox Cowboy","The Hood > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/111942383/juicebox-cowboy,4.0,-1,Sport,5.12b,1,70,47.8356,-117.725
"Go Fish","White Wall > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/109006724/go-fish,1.7,-1,Sport,5.8,1,40,47.83583,-117.72453
"Rocket Queen","White Wall > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/110831323/rocket-queen,2.0,-1,Sport,5.8,1,35,47.83583,-117.72453
Tizzy,"White Wall > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/105867171/tizzy,2.5,-1,Sport,5.10b,1,40,47.83583,-117.72453
"Dealers Choice","White Wall > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/109006709/dealers-choice,2.5,-1,Sport,5.10b,1,,47.83583,-117.72453
"Suicide King","White Wall > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/110831319/suicide-king,2.3,-1,Sport,5.10c,1,35,47.83583,-117.72453
"Character Assassination","White Wall > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/105794651/character-assassination,3.6,-1,Sport,5.10c/d,1,40,47.83583,-117.72453
"White Lighting","White Wall > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/105794648/white-lighting,3.5,-1,Sport,5.10d,1,40,47.83583,-117.72453
"Rattler in the Wood Pile","White Wall > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/109006654/rattler-in-the-wood-pile,2.0,-1,Sport,5.10d,1,40,47.83583,-117.72453
"Hold em or Fold em","White Wall > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/109006700/hold-em-or-fold-em,3.0,-1,Sport,5.10d,1,,47.83583,-117.72453
