Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Oyster Odyssey","Julia's Outcrop (Governor Lister Cliff) > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/108237079/oyster-odyssey,2.3,-1,Sport,5.5,1,25,48.6238,-122.4484
"Pink Medusa","Julia's Outcrop (Governor Lister Cliff) > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/106208230/pink-medusa,1.9,-1,Sport,5.6,1,40,48.6238,-122.4484
"Rat Poo Poo","Julia's Outcrop (Governor Lister Cliff) > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107438534/rat-poo-poo,1.6,-1,"Sport, TR",5.7,1,60,48.6238,-122.4484
"Pale Young Eels","Julia's Outcrop (Governor Lister Cliff) > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/106851286/pale-young-eels,1.9,-1,Sport,5.9,1,60,48.6238,-122.4484
"Grog Supply","Julia's Outcrop (Governor Lister Cliff) > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/106966826/grog-supply,2.2,-1,"Trad, Sport",5.9,1,70,48.6238,-122.4484
"Clicking Barnacles","Julia's Outcrop (Governor Lister Cliff) > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/106966837/clicking-barnacles,2.6,-1,Sport,5.9,1,30,48.6238,-122.4484
"Crystal Ship","Julia's Outcrop (Governor Lister Cliff) > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/106966846/crystal-ship,2.3,-1,Sport,5.9,1,30,48.6238,-122.4484
"Saffron Spider","Julia's Outcrop (Governor Lister Cliff) > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/106966819/saffron-spider,2.8,-1,Sport,5.9+,1,60,48.6238,-122.4484
"Julia the Viking Queen","Julia's Outcrop (Governor Lister Cliff) > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/106966833/julia-the-viking-queen,2.8,-1,Sport,5.9+,1,45,48.6238,-122.4484
"Our Typhoon Rhythm","Julia's Outcrop (Governor Lister Cliff) > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/106208261/our-typhoon-rhythm,3.1,-1,Sport,5.10a/b,1,50,48.6238,-122.4484
"Magic Cutlass","Julia's Outcrop (Governor Lister Cliff) > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/106208295/magic-cutlass,1.0,-1,"Trad, Sport",5.10,1,50,48.6238,-122.4484
"Spawning Effort","Julia's Outcrop (Governor Lister Cliff) > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/106966815/spawning-effort,2.2,-1,"Trad, Sport",5.10c,1,50,48.6238,-122.4484
"Nailed It!","Julia's Outcrop (Governor Lister Cliff) > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/108745096/nailed-it,1.7,-1,Sport,5.11b,1,70,48.6238,-122.4484
"Smoke On the Water","Julia's Outcrop (Governor Lister Cliff) > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/106966842/smoke-on-the-water,3.0,-1,Sport,5.11c,1,60,48.6238,-122.4484
"5 Deadly Venoms","Julia's Outcrop (Governor Lister Cliff) > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/108629588/5-deadly-venoms,2.3,-1,Sport,5.12b,1,70,48.6238,-122.4484
"Layback of Dihedral","Desperation > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107627830/layback-of-dihedral,1.0,-1,"Trad, TR",5.5,1,30,48.6493,-122.4706
"Variation to Dihedral","Desperation > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107675834/variation-to-dihedral,2.5,-1,TR,5.8,1,30,48.6493,-122.4706
"Desperation Face","Desperation > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107627809/desperation-face,2.3,-1,TR,5.10a,1,25,48.6493,-122.4706
"Desperation Crack","Desperation > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107627826/desperation-crack,3.0,-1,"Trad, TR","5.10b PG13",1,30,48.6493,-122.4706
"Desperation Overhang Right","Desperation > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107627820/desperation-overhang-right,2.7,-1,TR,5.10+,1,30,48.6493,-122.4706
