Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Rough Cut","Rough Cut Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/113758395/rough-cut,3.0,-1,Sport,5.11,2,,48.63745,-120.46362
"Bergermaster Baiter","Rough Cut Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/106112178/bergermaster-baiter,3.0,-1,Sport,5.12a,1,80,48.63745,-120.46362
"Baby Rattle Phobia","Rough Cut Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/106112188/baby-rattle-phobia,4.0,-1,Sport,5.13a,1,80,48.63745,-120.46362
"Trobability Pest","Rough Cut Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/106112184/trobability-pest,3.0,-1,Sport,5.13b/c,1,80,48.63745,-120.46362
"Hueco Thanks","Fire Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/113185907/hueco-thanks,1.8,-1,Sport,5.10a,1,60,48.59338,-120.4058
"The Torcher","Fire Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/107204217/the-torcher,2.5,-1,Sport,5.11a/b,1,70,48.59338,-120.4058
"Urban Refugee Start","Fire Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/113317807/urban-refugee-start,2.7,-1,Sport,5.11b,1,,48.59338,-120.4058
"Seam Surreal","Fire Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/113185859/seam-surreal,3.0,-1,Sport,5.11d,1,60,48.59338,-120.4058
Firestarter,"Fire Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/110934655/firestarter,3.3,-1,Sport,5.12b/c,1,,48.59338,-120.4058
"Urban Refugee","Fire Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/112183947/urban-refugee,3.6,-1,Sport,5.12d,1,,48.59338,-120.4058
"The 8th Rule","Fire Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/113185776/the-8th-rule,3.5,-1,Sport,5.13a,1,60,48.59338,-120.4058
"Restless in Paradise","Fire Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/113185814/restless-in-paradise,3.5,-1,Sport,5.13c/d,1,60,48.59338,-120.4058
"Staring Without Caring","Fire Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/113185944/staring-without-caring,2.0,-1,Sport,5.14a,1,70,48.59338,-120.4058
"Prime Rib","Goat Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/107730934/prime-rib,2.8,-1,Sport,5.9-,11,1300,48.62285,-120.44865
"Methow Inspiration Route","Goat Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/108198051/methow-inspiration-route,2.8,-1,Sport,5.9,5,,48.62285,-120.44865
Flyboys,"Goat Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/113665378/flyboys,3.2,-1,Sport,5.9,18,1800,48.62285,-120.44865
Sisyphus,"Goat Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/107192123/sisyphus,2.9,-1,Sport,5.11a,10,1000,48.62285,-120.44865
"Restless Natives","Goat Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/108455478/restless-natives,2.8,-1,Sport,5.11c,11,1100,48.62285,-120.44865
B,"Spearhead Base > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/117352185/b,2.2,-1,Sport,5.8,1,45,48.57945,-120.36631
A,"Spearhead Base > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/111824585/a,1.7,-1,Sport,5.8+,1,40,48.57945,-120.36631
"E. Grade school","Spearhead Base > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/123441379/e-grade-school,3.0,-1,Sport,5.10-,1,60,48.57945,-120.36631
A,"Spearhead Left Side > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/111824768/a,2.7,-1,Sport,5.9,1,95,48.57959,-120.36635
C,"Spearhead Left Side > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/111824849/c,2.4,-1,Sport,5.10-,1,45,48.57959,-120.36635
"Climate First","Spearhead Left Side > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/117797240/climate-first,3.4,-1,Sport,5.11b,1,100,48.57959,-120.36635
D,"Crackstar Lounge > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/117331722/d,2.3,-1,Sport,5.6,1,70,48.57957,-120.36605
C,"Crackstar Lounge > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/111825440/c,2.0,-1,Sport,5.7,1,65,48.57957,-120.36605
B,"Crackstar Lounge > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/117331673/b,2.3,-1,Sport,5.7,1,70,48.57957,-120.36605
I,"Crackstar Lounge > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/117352071/i,1.0,-1,Sport,5.8,1,55,48.57957,-120.36605
E,"Crackstar Lounge > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/111962648/e,2.7,-1,Sport,5.11-,1,65,48.57957,-120.36605
F,"Crackstar Lounge > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/117331753/f,2.0,-1,Sport,5.11,1,70,48.57957,-120.36605
D,"Deja Vu > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/114030579/d,1.7,-1,Sport,5.8,1,7,48.57984,-120.36622
F,"Deja Vu > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/114030627/f,1.7,-1,Sport,5.8,1,70,48.57984,-120.36622
G,"Deja Vu > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/114030644/g,1.5,-1,Sport,5.9,1,65,48.57984,-120.36622
"A. Tanner","Deja Vu > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/114029691/a-tanner,2.3,-1,Sport,5.11a,1,60,48.57984,-120.36622
"Controlled Burn","Deja Vu > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/114029767/controlled-burn,3.3,-1,Sport,5.11-,1,70,48.57984,-120.36622
"Route A","The Sweet Spot > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/114425723/route-a,1.4,-1,Sport,5.6,1,65,48.57836,-120.36623
"Route C","The Sweet Spot > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/114425737/route-c,2.1,-1,Sport,5.7,1,65,48.57836,-120.36623
"Route D","The Sweet Spot > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/114425748/route-d,2.1,-1,Sport,5.8,1,65,48.57836,-120.36623
"Route H","The Sweet Spot > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/122561294/route-h,2.0,-1,Sport,5.8,1,65,48.57836,-120.36623
"Route J","The Sweet Spot > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/122561332/route-j,2.0,-1,Sport,5.8,1,75,48.57836,-120.36623
"Route L. Stepchild","The Sweet Spot > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/122561375/route-l-stepchild,2.0,-1,Sport,5.8,1,70,48.57836,-120.36623
"Route G","The Sweet Spot > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/122560908/route-g,2.5,-1,Sport,5.8+,1,65,48.57836,-120.36623
"Route I","The Sweet Spot > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/122561313/route-i,2.0,-1,Sport,5.9,1,65,48.57836,-120.36623
