Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Rock Traverse","UW Rock > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/123408177/the-rock-traverse,3.5,-1,TR,5.10,1,130,47.6481,-122.301
"The No Crack Traverse","UW Rock > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/123408187/the-no-crack-traverse,4.0,-1,TR,5.11,1,130,47.6481,-122.301
"Volunteer Park Water Tower","Volunteer Park Water Tower > Seattle Urban Climbing > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106515697/volunteer-park-water-tower,3.1,-1,TR,5.9+,1,75,47.62901,-122.31455
"Demons and Darklords","Volunteer Park Water Tower > Seattle Urban Climbing > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118325125/demons-and-darklords,2.0,-1,Sport,"5.10a R",1,70,47.62901,-122.31455
"Grandpa Lit The Roof On Fire","Volunteer Park Water Tower > Seattle Urban Climbing > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118325104/grandpa-lit-the-roof-on-fire,3.0,-1,"TR, Boulder","5.10+ V3",1,20,47.62901,-122.31455
"Old Route","Ramps To Nowhere > Seattle Urban Climbing > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118307478/old-route,4.0,-1,TR,5.10b,1,40,47.64408,-122.29441
"New Route","Ramps To Nowhere > Seattle Urban Climbing > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118307588/new-route,4.0,-1,TR,5.11b,1,80,47.64408,-122.29441
"What's a Cookiecliff?","The Kenticle Proper > Kent East Hill Skate Park (AKA The Kenticle) > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119607948/whats-a-cookiecliff,2.0,-1,"Sport, TR",5.6,1,50,47.38585,-122.18722
Elusivity,"The Kenticle Proper > Kent East Hill Skate Park (AKA The Kenticle) > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119594667/elusivity,2.0,-1,Sport,5.7,1,50,47.38585,-122.18722
"Caldwell Luv","The Kenticle Proper > Kent East Hill Skate Park (AKA The Kenticle) > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119594474/caldwell-luv,2.0,-1,Sport,5.7,1,50,47.38585,-122.18722
