Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Blood Sport","Summer-Fall (rock) > Guye Peak > Snoqualmie Pass Area > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/112214146/blood-sport,2.0,-1,"Sport, Alpine",5.11b,1,50,47.44195,-121.40882
"The Tooth Fairy","Summer-Fall (rock) > The Tooth > Snoqualmie Pass Area > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119074107/the-tooth-fairy,3.2,-1,Sport,5.9,6,500,47.4459,-121.45444
"Indentured Servant","Summer-Fall (rock) > The Tooth > Snoqualmie Pass Area > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124697175/indentured-servant,2.1,-1,Sport,5.10b,5,500,47.4459,-121.45444
"Voie de Chaise","Summer-Fall (rock) > Chair Peak > Snoqualmie Pass Area > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/123412608/voie-de-chaise,2.7,-1,Sport,5.9-,8,800,47.4596,-121.46702
"Original Route (AKA Left Side Crack)","Fun Forest > Exit 47 > Snoqualmie Pass Area > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/109326535/original-route-aka-left-side-crack,2.4,-1,"Trad, TR",5.7,1,40,47.40003,-121.45989
"Chimney Express","Fun Forest > Exit 47 > Snoqualmie Pass Area > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/116846609/chimney-express,1.6,-1,Sport,5.8,1,32,47.40003,-121.45989
"Boots in the Snow","Fun Forest > Exit 47 > Snoqualmie Pass Area > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/110908549/boots-in-the-snow,2.5,-1,"Trad, TR",5.9+,1,40,47.40003,-121.45989
E-Ticket,"Fun Forest > Exit 47 > Snoqualmie Pass Area > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/110820384/e-ticket,2.6,-1,Sport,5.10d,1,35,47.40003,-121.45989
"Wild Mouse","Fun Forest > Exit 47 > Snoqualmie Pass Area > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/116846582/wild-mouse,3.1,-1,"Trad, TR",5.10d,1,50,47.40003,-121.45989
"Flight To Mars","Fun Forest > Exit 47 > Snoqualmie Pass Area > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118160111/flight-to-mars,2.0,-1,"Trad, TR",5.11b,1,,47.40003,-121.45989
"Mystical Garden of Free-wheeling Animals","Fun Forest > Exit 47 > Snoqualmie Pass Area > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/114465320/mystical-garden-of-free-wheeling-animals,2.5,-1,"Trad, TR",5.11c,1,50,47.40003,-121.45989
"Post Wired Movement","Fun Forest > Exit 47 > Snoqualmie Pass Area > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118686630/post-wired-movement,2.5,-1,"Sport, TR",5.11c,1,50,47.40003,-121.45989
"Vulcan Death Grip","Fun Forest > Exit 47 > Snoqualmie Pass Area > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/116846625/vulcan-death-grip,2.8,-1,"Trad, TR",5.11d,1,60,47.40003,-121.45989
"Kill Me If I Start To Live","Fun Forest > Exit 47 > Snoqualmie Pass Area > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118686601/kill-me-if-i-start-to-live,3.0,-1,"Sport, TR",5.12a,1,50,47.40003,-121.45989
"Discontinuous Kon Tiki Scenario","Fun Forest > Exit 47 > Snoqualmie Pass Area > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118160135/discontinuous-kon-tiki-scenario,2.0,-1,"Trad, TR","5.12b R",1,,47.40003,-121.45989
