Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"East Wall Offwidth","The Amphitheater > Horsethief Butte > South-Central & Yakima > Washington",https://www.mountainproject.com/route/120108898/east-wall-offwidth,2.0,-1,"Trad, TR",5.7,1,30,45.64832,-121.09834
"Entrance Crack - Right/Stem","The Amphitheater > Horsethief Butte > South-Central & Yakima > Washington",https://www.mountainproject.com/route/112491374/entrance-crack-rightstem,2.0,-1,TR,5.10+,1,40,45.64832,-121.09834
"Green Slab Ravine","Main Corridor > Horsethief Butte > South-Central & Yakima > Washington",https://www.mountainproject.com/route/119644417/green-slab-ravine,1.5,-1,"Trad, TR",5.3,1,30,45.64831,-121.09794
"East Grotto Face D","Main Corridor > Horsethief Butte > South-Central & Yakima > Washington",https://www.mountainproject.com/route/119644534/east-grotto-face-d,1.5,-1,"Trad, TR",5.3,1,30,45.64831,-121.09794
"East Grotto Face C","Main Corridor > Horsethief Butte > South-Central & Yakima > Washington",https://www.mountainproject.com/route/119644752/east-grotto-face-c,1.0,-1,"Trad, TR",5.3,1,30,45.64831,-121.09794
"East Grotto Face B","Main Corridor > Horsethief Butte > South-Central & Yakima > Washington",https://www.mountainproject.com/route/119644812/east-grotto-face-b,1.0,-1,"Trad, TR",5.3,1,30,45.64831,-121.09794
Groove,"Main Corridor > Horsethief Butte > South-Central & Yakima > Washington",https://www.mountainproject.com/route/120273563/groove,1.0,-1,"Trad, TR",5.5,1,25,45.64831,-121.09794
"Face 2 Groove","Main Corridor > Horsethief Butte > South-Central & Yakima > Washington",https://www.mountainproject.com/route/120273427/face-2-groove,1.0,-1,"Trad, TR",5.7,1,25,45.64831,-121.09794
"Thin Block","Main Corridor > Horsethief Butte > South-Central & Yakima > Washington",https://www.mountainproject.com/route/120273533/thin-block,2.0,-1,"Trad, TR",5.7,1,25,45.64831,-121.09794
"Face to Groove","Main Corridor > Horsethief Butte > South-Central & Yakima > Washington",https://www.mountainproject.com/route/119954171/face-to-groove,2.0,-1,"Trad, TR",5.8,1,30,45.64831,-121.09794
"Steep Face","Main Corridor > Horsethief Butte > South-Central & Yakima > Washington",https://www.mountainproject.com/route/112491344/steep-face,2.0,-1,TR,5.10-,1,25,45.64831,-121.09794
"Unnamed (Orange)","Sunshine Face > Horsethief Butte > South-Central & Yakima > Washington",https://www.mountainproject.com/route/121500558/unnamed-orange,1.0,-1,"Trad, TR",5.6,1,30,45.64851,-121.09788
"Unnamed (Blue)","Sunshine Face > Horsethief Butte > South-Central & Yakima > Washington",https://www.mountainproject.com/route/121500587/unnamed-blue,1.0,-1,"Trad, TR",5.6,1,35,45.64851,-121.09788
"Unnamed (Red)","Sunshine Face > Horsethief Butte > South-Central & Yakima > Washington",https://www.mountainproject.com/route/121500354/unnamed-red,2.0,-1,"Trad, TR",5.8,1,30,45.64851,-121.09788
"Unnamed (Yellow)","Sunshine Face > Horsethief Butte > South-Central & Yakima > Washington",https://www.mountainproject.com/route/121500526/unnamed-yellow,1.0,-1,"Trad, TR",5.9,1,30,45.64851,-121.09788
"Snack Attack","Astral Wall > South Fork Cliff > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/117691686/snack-attack,2.4,-1,Sport,5.9+,1,50,46.5925,-121.2381
"West Arete","Astral Wall > South Fork Cliff > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/105921315/west-arete,2.7,-1,Sport,5.10a,1,100,46.5925,-121.2381
"Thanks Andy","Astral Wall > South Fork Cliff > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/111958508/thanks-andy,3.0,-1,Sport,5.10a/b,1,80,46.5925,-121.2381
"Milky Way","Astral Wall > South Fork Cliff > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/111958642/milky-way,3.8,-1,Sport,5.10d,1,140,46.5925,-121.2381
"Astral Cloud","Astral Wall > South Fork Cliff > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/111958566/astral-cloud,3.2,-1,Sport,5.11a,1,170,46.5925,-121.2381
"Dusting from Heaven","Astral Wall > South Fork Cliff > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/111958601/dusting-from-heaven,3.0,-1,Sport,5.11-,1,140,46.5925,-121.2381
Snickered,"Astral Wall > South Fork Cliff > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/111958729/snickered,3.5,-1,Sport,5.11,1,90,46.5925,-121.2381
"Mars Bar","Astral Wall > South Fork Cliff > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/111958676/mars-bar,4.0,-1,Sport,5.11+,1,130,46.5925,-121.2381
Whitewashed,"Astral Wall > South Fork Cliff > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/105983201/whitewashed,3.9,-1,Sport,5.12a,1,90,46.5925,-121.2381
"Rules for Stems","Main Wall > South Fork Cliff > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/105921735/rules-for-stems,3.8,-1,Sport,5.11c,1,100,46.59283,-121.23781
"What Would Jesus Do?","Main Wall > South Fork Cliff > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/105921324/what-would-jesus-do,3.0,-1,Sport,5.12a,1,100,46.59283,-121.23781
Hexavalent,"Hexagonal Satellites > South Fork Cliff > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/117691604/hexavalent,1.8,-1,Sport,5.7+,1,25,46.59242,-121.23822
"Bough Beaten","Hexagonal Satellites > South Fork Cliff > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/118925532/bough-beaten,2.8,-1,Sport,5.8,1,60,46.59242,-121.23822
"Ask Jim Yoder","Hexagonal Satellites > South Fork Cliff > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/117691511/ask-jim-yoder,1.9,-1,Sport,5.9,1,40,46.59242,-121.23822
"Behind the Curtain","Hexagonal Satellites > South Fork Cliff > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/117691627/behind-the-curtain,2.1,-1,Sport,5.9,1,70,46.59242,-121.23822
