Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Dog Route","South Wall > Spire Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/113390695/dog-route,2.0,-1,TR,5.4,1,35,47.12289,-122.44248
"Garner Wall","South Wall > Spire Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/120515309/garner-wall,2.0,-1,TR,5.4,1,30,47.12289,-122.44248
"Rolling Stone Chimney","South Wall > Spire Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/117355577/rolling-stone-chimney,2.0,-1,TR,5.5,1,35,47.12289,-122.44248
"The Waterworks","South Wall > Spire Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/120246871/the-waterworks,2.0,-1,TR,5.7,1,40,47.12289,-122.44248
Lieback,"South Wall > Spire Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/113390706/lieback,2.0,-1,"Trad, TR",5.9-,1,35,47.12289,-122.44248
"Suck in a Rut","North Wall > Spire Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/113390509/suck-in-a-rut,1.4,-1,"Trad, TR",5.8,1,35,47.1229,-122.44249
"Classic Crack","North Wall > Spire Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/113390573/classic-crack,2.3,-1,"Trad, TR",5.9-,1,35,47.1229,-122.44249
"Strawberry Jam Crack","North Wall > Spire Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/113390468/strawberry-jam-crack,2.3,-1,"Trad, TR",5.10a,1,35,47.1229,-122.44249
"Monkey Mantle","North Wall > Spire Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/113390592/monkey-mantle,2.0,-1,TR,5.10a,1,35,47.1229,-122.44249
"Tipsy Turvy","North Wall > Spire Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/113390550/tipsy-turvy,2.0,-1,"Trad, TR",5.10-,1,35,47.1229,-122.44249
"The Rack","North Wall > Spire Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/120381930/the-rack,2.0,-1,TR,5.11-,1,35,47.1229,-122.44249
"Yukon’s Dream","Tower, West Wall > Spire Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/120382001/yukons-dream,2.0,-1,TR,5.10-,1,35,47.1229,-122.4425
"The Gooch","Tower, West Wall > Spire Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/113390659/the-gooch,2.3,-1,TR,5.10b,1,35,47.1229,-122.4425
"The Grinch","Tower, West Wall > Spire Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/120246827/the-grinch,3.0,-1,TR,5.10+,1,30,47.1229,-122.4425
Chimney,"Tower, South Wall > Spire Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/113390606/chimney,2.0,-1,TR,5.7,1,35,47.1229,-122.4425
"Elbow Delight","Tower, South Wall > Spire Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/113390639/elbow-delight,2.3,-1,"Trad, TR",5.10a,1,35,47.1229,-122.4425
"FD's Route","Cave Wall > Fossil Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/107600272/fds-route,2.0,-1,Sport,5.9,1,50,46.8271,-122.4254
Choices,"Cave Wall > Fossil Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/107600280/choices,1.0,-1,Sport,5.10a,1,50,46.8271,-122.4254
"Sharks in the Water","Cave Wall > Fossil Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/107600292/sharks-in-the-water,3.0,-1,Sport,5.11a,1,,46.8271,-122.4254
"Sketch Master","Cave Wall > Fossil Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/107600285/sketch-master,2.0,-1,Sport,5.12a,1,50,46.8271,-122.4254
"New Age Rock Technician","Cave Wall > Fossil Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/107600296/new-age-rock-technician,1.0,-1,Sport,5.12b,1,50,46.8271,-122.4254
"Room With A View","Tomahawk Tower > Fossil Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/107600201/room-with-a-view,2.0,-1,Sport,5.11b,1,30,46.8271,-122.4254
"Mr. Meanie","Battle of the Bulge - Right > Fossil Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/107600211/mr-meanie,1.7,-1,Sport,5.9,1,45,46.8271,-122.4254
"Perfect Lovers","Battle of the Bulge - Right > Fossil Rock > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/107600208/perfect-lovers,2.0,-1,Sport,5.10a,1,40,46.8271,-122.4254
