Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Space Candy","Cougar Cove Roped > Granite Point Boulders > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/124022802/space-candy,3.0,-1,"Trad, TR",5.9,1,75,46.60159,-117.36312
"5.5 Crack","Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/108318876/55-crack,1.1,-1,"Trad, TR",5.5,1,35,46.60465,-117.35937
"Layback Crack","Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/106145026/layback-crack,2.3,-1,"Trad, TR",5.6,1,30,46.60465,-117.35937
"Steep Face","Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/106145032/steep-face,1.8,-1,"Sport, TR",5.7,1,30,46.60465,-117.35937
Ballscratcher,"Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/111958090/ballscratcher,1.6,-1,"Trad, TR",5.7,1,45,46.60465,-117.35937
"Insecurity Issues 2: The Electric Boogaloo","Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/118586289/insecurity-issues-2-the-electric-boogaloo,1.8,-1,"Sport, TR",5.8-,1,20,46.60465,-117.35937
"Face Up","Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/111957980/face-up,1.3,-1,"Sport, TR",5.8,1,20,46.60465,-117.35937
"Ephemeral Arete","Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/111958070/ephemeral-arete,2.3,-1,"Sport, TR",5.8,1,45,46.60465,-117.35937
"Insecurity Issues Crack","Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/120535149/insecurity-issues-crack,2.0,-1,"Trad, TR",5.8,1,20,46.60465,-117.35937
"The Sacred Heart","Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/123275386/the-sacred-heart,2.3,-1,"Sport, TR",5.8,1,40,46.60465,-117.35937
Subterfuge,"Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/111958006/subterfuge,2.3,-1,"Sport, TR",5.9,1,30,46.60465,-117.35937
"The Diamond","Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/123970374/the-diamond,2.0,-1,TR,5.9,1,45,46.60465,-117.35937
"Pendulum/Papa Pigscruck","Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/113064994/pendulumpapa-pigscruck,2.4,-1,Sport,5.10a/b,1,40,46.60465,-117.35937
"Rotten Crack","Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/107113069/rotten-crack,2.7,-1,Sport,5.10,1,40,46.60465,-117.35937
Pendulum,"Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/105834472/pendulum,2.2,-1,Sport,5.10b/c,1,40,46.60465,-117.35937
Dreamscape,"Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/114782725/dreamscape,2.7,-1,"Sport, TR",5.10c,1,40,46.60465,-117.35937
Seawall,"Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/123943366/seawall,3.0,-1,TR,5.10c,1,30,46.60465,-117.35937
Alchemy,"Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/124101656/alchemy,3.0,-1,"Sport, TR",5.10c,1,55,46.60465,-117.35937
"Insecurity Issues","Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/112860750/insecurity-issues,2.3,-1,"Sport, TR",5.10d,1,25,46.60465,-117.35937
Pieta,"Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/114782636/pieta,2.8,-1,"Sport, TR",5.11a,1,50,46.60465,-117.35937
"Hand Over Hand","Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/105834468/hand-over-hand,2.9,-1,Sport,5.11b,1,45,46.60465,-117.35937
"Nirvana Blues","Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/119562187/nirvana-blues,3.0,-1,"Sport, TR",5.11,1,45,46.60465,-117.35937
"The Pillar","Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/117505758/the-pillar,3.8,-1,"Sport, TR",5.11+,1,50,46.60465,-117.35937
Razorblades,"Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/106102790/razorblades,2.7,-1,Sport,5.11d,1,35,46.60465,-117.35937
Psychosynthesis,"Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/106102797/psychosynthesis,3.0,-1,Sport,5.12b,1,45,46.60465,-117.35937
